Barcode,Catalog Number,Catalog,Special Collections,Division,Order,Family,Subfamily,Tribe,Taxonomic Name (Filed As : Identified By : Identification Date),Other Taxonomic Names (Identification : Identified By : Date Identified),Name Hierarchy,Common Name (Name : Language),Type Citations (Scientific Name : Type Status : Verification Degree : Citation),Lectotypified By,Taxonomy Remarks,Collection Remarks,Collector(s),Collection Number,Date Collected,Biogeographic Region,Archipelago,Country,Province/State,District/County,Precise Locality,Island Name,Centroid Latitude,Centroid Longitude,Elevation (m),Conservation Status (Authority : Status),Habit,Microhabitat Description,Other Counts (Type : Value),Other Numbers (Type : Value),Cultivated,Recent/Fossil,Notes,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Field Id Number,Preservation Method,Embargo?,Depleted?,Storage Location,Record Last Modified,EZID
"01589725","625784","Flowering plants and ferns","","","Polypodiales","Polypodiaceae","","","Pyrrosia porosa (C. Presl) Hovenkamp var. porosa","","F255 : Pyrrosia porosa (C. Presl) Hovenkamp var. porosa : Polypodiaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","Bureau of science 3433","Jul 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","31 Oct 2016 19:59:00","http://n2t.net/ark:/65665/334c8e881-3783-4b6a-acfc-ff2d85f62f17"
"03573459","625850","Flowering plants and ferns","","","Ranunculales","Ranunculaceae","","","Ranunculus philippinensis Merr. & Rolfe","","2546 : Ranunculus philippinensis Merr. & Rolfe : Ranunculaceae : Ranunculales : Dicotyledonae","","",,"","","Mearns, E. A.","4387","Jul 1907","42 - Malesia","","Philippines","","","Haight's in the Oaks. Benguet Prov.","","","",2134,,"","",,,"","",,"","","","","","","","","","12 Dec 2019 02:04:00","http://n2t.net/ark:/65665/3e153e273-1229-4bca-b93d-8ac4888ca6fa"
"00493256","447637","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Renanthera storiei Rchb. f.","","1679 : Renanthera storiei Rchb. f. : Orchidaceae : Orchidales : Monocotyledonae","","",,"","","Mearns, E. A.","s.n.","21 Apr 1904","42 - Malesia","","Philippines","Surigao del Norte / Surigao del Sur","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","15 Jun 2017 18:17:00","http://n2t.net/ark:/65665/3887b9637-2c51-4462-85b8-f963d0d288d0"
"03044700","1238336","Flowering plants and ferns","","","Rhizophorales","Rhizophoraceae","","","Rhizophora mucronata Lam.","","5523 : Rhizophora mucronata Lam. : Rhizophoraceae : Rhizophorales : Dicotyledonae","Aak, Aak-alel; ahkapa : Pohnpeian; Ak; Akapa; Bakau kenap : Malay; Bakau kurap; Adu Chantah : Malay; Batan Kurap : Malay; Bayud; Chia, Chia ato; Cia; Jia; Jia; Kambara : Kwara'ae; likehneir : Pohnpeian; Mkoko; Pulapul; Rauey; Rowey; Tebe'el; Tiporh : Matapaili, Matapaili; mangrove","",,"","","Mearns, E. A.","s.n.","8 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Island at Tataan, Tawi Tawi.","","","","",,"","",,,"","",,"","","","","","","","","","09 Jan 2019 03:25:00","http://n2t.net/ark:/65665/37d409465-e374-431d-805c-fb7ca771d632"
"02979779","447698","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron apoanum Stein","","6184 : Rhododendron apoanum Stein : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","6 Jul 1904","42 - Malesia","","Philippines","","","Philippine Islands. Mt. Apo, (West Peak), Mindanao.","","","",2957,,"","",,,"","",,"","","","","","","","","","03 Oct 2018 18:50:00","http://n2t.net/ark:/65665/35ccf5e15-1563-4847-9d22-a5114c35de68"
"02979840","447669","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron kochii Stein","","6184 : Rhododendron kochii Stein : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","28 Jun 1904","42 - Malesia","","Philippines","","","Philippine Islands. Mt. Apo, Mindanao.","","","",2195,,"","",,,"","",,"","","","","","","","","","03 Oct 2018 18:22:00","http://n2t.net/ark:/65665/3c79d5bb8-ed96-4cf1-9d87-960a1c8e06a1"
"02979837","706250","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron kochii Stein","","6184 : Rhododendron kochii Stein : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","Forestry Bureau 4674","May 1906","42 - Malesia","","Philippines","","","Mt. Malmdang, Prov. of Misamis. Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","03 Oct 2018 17:22:00","http://n2t.net/ark:/65665/31867ecbe-c259-4bf4-8934-e3313bd337ae"
"02979839","447676","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron kochii Stein","","6184 : Rhododendron kochii Stein : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","28 Jun 1904","42 - Malesia","","Philippines","","","Philippine Islands. Mt. Apo, Mindanao.","","","",2286,,"","",,,"","",,"","","","","","","","","","01 Oct 2018 22:14:00","http://n2t.net/ark:/65665/3ecc53bdf-83f8-41df-9286-3c107f655490"
"00116715","708925","Flowering plants and ferns","Type Register","","Ericales","Ericaceae","","","Rhododendron malindangense Merr.","","6184 : Rhododendron malindangense Merr. : Ericaceae : Ericales : Dicotyledonae","","Rhododendron malindangense Merr. : Isotype, Merrill, E. D. 1908. Philipp. J. Sci., C. 3: 256., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","For. Bur. 4705","May 1906","42 - Malesia","","Philippines","Misamis Occidental","","Mt. Malindang.","Mindanao","","","",,"","",,"fiche number : 0657/D07","","",,"","","","","","","","","","29 Aug 2016 19:43:00","http://n2t.net/ark:/65665/3f48142fa-0d71-4181-821f-cd373006fb9e"
"02979825","447672","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron mindanaense Merr.","","6184 : Rhododendron mindanaense Merr. : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","28 Jun 1904","42 - Malesia","","Philippines","","","Philippine Islands. Crater Lake; Mt Apo, Mindanao.","","","",2819,,"","",,,"","",,"","","","","","","","","","01 Oct 2018 21:19:00","http://n2t.net/ark:/65665/3d901bd27-fead-4899-b9f9-acee6f116ba3"
"02979826","447661","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron mindanaense Merr.","","6184 : Rhododendron mindanaense Merr. : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","28 Jun 1904","42 - Malesia","","Philippines","","","Philippine Islands. Mt Apo, Mindanao.","","","",2835,,"","",,,"","",,"","","","","","","","","","03 Oct 2018 20:12:00","http://n2t.net/ark:/65665/358a1470b-5c4d-4064-be3c-e4665ad64d9a"
"02979877","447684","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron quadrasianum f. davaoense H.F. Copel.","","6184 : Rhododendron quadrasianum f. davaoense H.F. Copel. : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","1 Jul 1904","42 - Malesia","","Philippines","","","East peak, Mt. Apo, Mindanao.","","","",2896,,"","",,,"","",,"","","","","","","","","","03 Oct 2018 20:26:00","http://n2t.net/ark:/65665/3a78d3b26-b0fc-414a-99d8-70d4263108a0"
"02979897","628469","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron sp.","","6184 : Rhododendron sp. : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","24","10 Dec 1905","42 - Malesia","","Philippines","","","Luzon - from summit of Mt. Santo Tomas.","","","",2237,,"","",,,"","",,"","","","","","","","","","03 Oct 2018 16:19:00","http://n2t.net/ark:/65665/32afcd25f-20ba-4755-b035-ca346d716a5b"
"02979861","447671","Flowering plants and ferns","","","Ericales","Ericaceae","","","Rhododendron spectabile Merr.","","6184 : Rhododendron spectabile Merr. : Ericaceae : Ericales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","28 Jun 1904","42 - Malesia","","Philippines","","","Mt. Apo; Mindanao.","","","",2286,,"","",,,"","",,"","","","","","","","","","01 Oct 2018 20:18:00","http://n2t.net/ark:/65665/3f3079955-397f-497c-ae03-d90806f7e4ae"
