Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"61156","Specimen/Lot","",25,"Barbus quinquemaculatus","","Barbus quinquemaculatus : Cyprinidae : Cypriniformes : Actinopterygii : Chordata","","","Cypriniformes","Cyprinidae","",,"Pacific","","","","","","Philippines","","","Int. Malindang, P.I.","","","Mearns, E. A.","","","","","","","","","",,,"Acc. no. 46983 & 5.","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/329923438-945a-476f-97a3-872eed75c7c9"
"61157","Specimen/Lot","",45,"Barbus quinquemaculatus","","Barbus quinquemaculatus : Cyprinidae : Cypriniformes : Actinopterygii : Chordata","","","Cypriniformes","Cyprinidae","",,"","","","","Mindanao","Asia","Philippines","Zamboanga del Sur","","Zamboanga, P. I.","","","Mearns, E. A.","","","","","","","","","",,,"Acc. no. 46983 & 5.","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/36ca4e702-a687-47ca-b7be-9787d767806e"
"57921","Specimen/Lot","",11,"Bathygobius cyclopterus","Mapo fuscus","Bathygobius cyclopterus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae",,"Pacific","","","","","","Philippines","","","Philippine Islands","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3ebd48198-7ca1-4792-8b86-2ad193aba21d"
"57927","Specimen/Lot","",2,"Bathygobius fuscus","","Bathygobius fuscus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae",,"Pacific","","","","","","Philippines","","","Philippine Islands","","","Mearns, E. A.","","","","","","","","","",,,"","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3f14dc387-2c4b-41fe-a47a-ce74e238a01e"
"57914","Specimen/Lot","",2,"Bodianus bilunulatus bilunulatus","","Bodianus bilunulatus bilunulatus : Labridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Labridae","","1906","Pacific","","","","Mindanao","","Philippines","","","Philippine Islands: Zamboanga, Mindanao","","","Mearns, E. A.","","","","","","","","","",,,"","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/36af487e1-b938-4d96-99de-d27634c37dfe"
"RAD 117131","Image","Radiograph Collection",1,"Bodianus bilunulatus bilunulatus","","Bodianus bilunulatus bilunulatus : Labridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Labridae","","1906","Pacific","","","","Mindanao","","Philippines","","","Philippine Islands: Zamboanga, Mindanao","","","Mearns, E. A.","","Catalog Number : USNM 57914","","","","","","","","Polyester:MSC:1",,"","2078776","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/314b07ab5-ec2b-4876-ac37-4134247d135c"
"58036","Specimen/Lot","",1,"Caesio cuning","","Caesio cuning : Caesionidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Caesionidae","","Aug 1906 (1906 Aug 00 - 0000 00 00)","Pacific","","Philippine Archipelago","","","","Philippines","","","Zamboanga, Philippine Islands","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3942b6a04-5065-4a1b-bb0e-805caba6f02c"
"58038","Specimen/Lot","",1,"Caesio lunaris","","Caesio lunaris : Caesionidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Caesionidae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3a98b03f5-c854-4b85-8020-1f1f52d70c18"
"57845","Specimen/Lot","Types",1,"Callyodon latifasciatus","","Callyodon latifasciatus : Scaridae : Perciformes : Actinopterygii : Chordata","Type","Seale, A. & Bean, B. A. 1907. Proceedings of the United States National Museum. 33 (1568): 237, fig. 7.","Perciformes","Scaridae","Scarinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","","Illustration::1",,"219","000000","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/376c2b931-8847-4f55-a089-5773e6dc9640"
"61152","Specimen/Lot","Types",1,"Callyodon latifasciatus","","Callyodon latifasciatus : Scaridae : Perciformes : Actinopterygii : Chordata","Paratype","Seale, A. & Bean, B. A. 1907. Proceedings of the United States National Museum. 33 (1568): 237, fig. 7.","Perciformes","Scaridae","Scarinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","","Illustration::1",,"","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/38e89a17f-546b-4ef4-9c59-624abb22f4ff"
"RAD 112626","Image","Radiograph Collection",1,"Callyodon latifasciatus","","Callyodon latifasciatus : Scaridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Scaridae","Scarinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","Catalog Number : USNM 57845","","","","","","","","Acetate:MSC:1",,"Radiograph is of a holotype; The Smithsonian NMNH Division of Fishes uses the convention of maintaining the original species name for type specimens designated at the time of description. The currently accepted name for this species is Scarus tricolor.","2078776","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/380f23b04-1734-4005-9303-17f8ef949dbb"
"RAD 112630","Image","Radiograph Collection",1,"Callyodon latifasciatus","","Callyodon latifasciatus : Scaridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Scaridae","Scarinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","Catalog Number : USNM 61152","","","","","","","","Acetate:MSC:1",,"Radiograph is of a paratype; The Smithsonian NMNH Division of Fishes uses the convention of maintaining the original species name for type specimens designated at the time of description. The currently accepted name for this species is Scarus tricolor.","2078776","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/37937df49-3d8a-49ee-bc68-039b8be44258"
"57972","Specimen/Lot","",1,"Canthigaster compressa","","Canthigaster compressa : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Tetraodontidae","Canthigasterinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3569a8e06-c71f-48cb-98cd-99ddbbc02724"
"55627","Specimen/Lot","",1,"Canthigaster compressa","","Canthigaster compressa : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Tetraodontidae","Canthigasterinae","1904 (1904 00 00 - 0000 00 00)","Pacific","","","","Mindanao","","Philippines","","","Phiippine Islands: Zamboanga, Mindanao","","","Mearns, E. A.","","","","","","","","","",,,"","","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/387f10ace-7e99-4bea-b1d7-25a30bffc949"
"58013","Specimen/Lot","",1,"Caranx sexfasciatus","","Caranx sexfasciatus : Carangidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Carangidae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"The labels only ledgible year of collection information is ""190?"" The exact year is not known and there are currently no further field notes available. It is known that Mearns was in the Zamboanga area in 1904.","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/39768ea1f-b929-4ef2-806d-b484d531ae82"
"57843","Specimen/Lot","Types",1,"Cephalopholis maculatus","","Cephalopholis maculatus : Serranidae : Perciformes : Actinopterygii : Chordata","Type","","Perciformes","Serranidae","Epinephelinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","","Illustration::1",,"179 see 61153","000000","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/312196ab8-c627-405d-9eb3-8c7e9b89aa3a"
"61153","Specimen/Lot","Types",1,"Cephalopholis maculatus","","Cephalopholis maculatus : Serranidae : Perciformes : Actinopterygii : Chordata","Cotype","","Perciformes","Serranidae","Epinephelinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"See 57843 (type spec.).","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3e9b8e97b-41f7-4e47-a6a1-441a56875c81"
