Museum,Catalog Number - USNM,Special Collections,Class,Order,Family,Genus species,Other Identifications,Name Hierarchy,Type Status,Type Citations,Taxonomic Notes,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition/Project,Field Number(s),Date Collected,Preparation Details (Preparation:Remarks),Inventory Status,Status Remarks,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"NMNH","34849","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3f988e35a-d2dd-412e-8cc3-e76ad0c2d621"
"NMNH","34851","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3bc0007b6-f7a2-40a2-a2bd-722f5a2438ad"
"NMNH","34853","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/38807acf4-6c2d-44d5-919f-14abb47c49bd"
"NMNH","34858","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/32afe4dca-090a-42bf-bffe-dc328f0ca9bc"
"NMNH","34860","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3ff3183b1-652f-464a-8285-87deb251863e"
"NMNH","34873","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/367bf1745-9f8d-45f2-8314-940dc4e76fec"
"NMNH","34876","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3669db966-481a-4514-ad14-a8a394145b56"
"NMNH","34887","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3d4f88954-9588-4a7e-9b3c-8e86392abf0c"
"NMNH","34796","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3cc75c575-afbc-4e39-8078-f05464b6f235"
"NMNH","34799","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/38a09d768-9fc4-40d5-b603-08685a532db8"
